t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
1.2489,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,26.341,-95.0,24.0,1.0,-5.2,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
1.3013,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,26.341,-95.0,24.0,1.0,-2.548,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
1.3551,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,25.854,-95.0,24.0,1.0,-5.098,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
1.4087,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,25.854,-95.0,24.0,1.0,-2.498,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
1.4617,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,25.366,-95.0,24.0,1.0,-7.211,32.0,-93.196,-95.0,72.0,7.0,-0.0,34.0
1.5142,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,25.366,-95.0,24.0,1.0,-3.533,32.0,-93.196,-95.0,72.0,7.0,-0.0,34.0
1.5664,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,24.878,-95.0,24.0,1.0,-5.585,32.0,-93.196,-95.0,72.0,7.0,-0.0,34.0
1.6195,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,24.39,-95.0,24.0,1.0,-8.243,32.0,-93.196,-95.0,72.0,7.0,-0.0,34.0
1.6725,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,24.39,-95.0,24.0,1.0,-4.039,32.0,-93.196,-95.0,72.0,7.0,-0.0,34.0
1.7255,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,23.902,-95.0,24.0,1.0,-7.5,32.0,-93.196,-95.0,72.0,7.0,-0.0,34.0
